datetime,stake,unstake,deposit,redeem,stake_tx_count,unstake_tx_count,deposit_tx_count,redeem_tx_count,stake_addr_count,unstake_addr_count,deposit_addr_count,redeem_addr_count
2021-04-09 1:00,209.2907476,11.40747331,0,5.196723801,8,1,0,1,8,1,0,1
2021-04-09 2:00,82.65169465,237.3418833,2865.271604,40.93001434,13,4,2,3,12,4,2,3
2021-04-09 3:00,23.86775451,2.803776725,0,43.63381495,10,1,0,5,10,1,0,5
2021-04-09 4:00,45.56359331,30.29234215,872.0904109,0,5,7,1,0,5,6,1,0
2021-04-09 5:00,11.7848857,20.7692,7375.558597,275.5708595,7,2,3,2,7,2,3,2
2021-04-09 6:00,208.5813009,0,319.3146573,1.969812479,7,0,1,2,7,0,1,2
2021-04-09 7:00,8.842546758,31.1932,39.60485048,0,4,2,1,0,4,2,1,0
2021-04-09 8:00,2.19848812,125.6508153,0,2.19848812,1,2,0,1,1,2,0,1
2021-04-09 9:00,41.13336285,0,504.8588097,5.097141894,5,0,1,1,5,0,1,1
2021-04-09 10:00,83.62909756,11.4497352,0,86.09055604,4,1,0,2,4,1,0,2
2021-04-09 11:00,10.81445662,0,219.5636428,0,2,0,1,0,2,0,1,0
2021-04-09 12:00,130.0504896,1.540417,0,21.67841527,6,1,0,3,6,1,0,3
2021-04-09 13:00,7.097979912,211.1396562,813.4197003,13.79927912,2,3,2,1,2,3,2,1
2021-04-09 14:00,228.1437666,5,0,1.270009659,8,1,0,1,8,1,0,1
2021-04-09 15:00,74.2635986,28.97,139.1129385,5.261371986,6,1,1,1,6,1,1,1
2021-04-09 16:00,298.1827467,478.3993589,2918.897589,67.74895585,6,6,6,2,6,6,6,2
2021-04-09 17:00,549.7099269,267.9712197,10107.26382,0.420371854,10,6,1,1,9,5,1,1
2021-04-09 18:00,22.35416665,304.7059172,0,0,7,11,0,0,7,10,0,0
2021-04-09 19:00,120.8568275,46.1664127,0,36.04358972,10,3,0,4,10,3,0,3
2021-04-09 20:00,86.90201628,87.3993167,0,0,10,3,0,0,9,3,0,0
2021-04-09 21:00,157.7437874,74.052,0,0,11,3,0,0,11,2,0,0
2021-04-09 22:00,38.0677077,41.37151379,0,0,8,3,0,0,8,3,0,0
2021-04-09 23:00,98.92182499,176.2172634,0,0,10,4,0,0,10,4,0,0
2021-04-10 0:00,176.9125951,41.79015269,0,0,3,3,0,0,3,3,0,0
2021-04-10 1:00,89.81149073,60,5339.829142,0,7,2,1,0,7,2,1,0
2021-04-10 2:00,89.25687033,24.11118577,0,7.439127396,8,2,0,2,7,2,0,2
2021-04-10 3:00,72.04567928,5.8127,0,9.315674821,12,1,0,1,12,1,0,1
2021-04-10 4:00,77.04647496,3.475706047,0,5.217787414,4,1,0,2,4,1,0,2
2021-04-10 5:00,54.71300516,234.9722312,0,6.692214068,9,4,0,1,9,4,0,1
2021-04-10 6:00,52.38709492,16.55865051,0,1.212431734,3,1,0,1,3,1,0,1
2021-04-10 7:00,31.26528025,31,0,28.25180098,3,3,0,1,3,3,0,1
2021-04-10 8:00,2.220163811,4,0,1.048481677,4,1,0,1,4,1,0,1
2021-04-10 9:00,19.66022936,0,0,0,4,0,0,0,4,0,0,0
2021-04-10 10:00,24.73419015,11,0,21.50373447,6,1,0,1,6,1,0,1
2021-04-10 11:00,78.5326789,0,0,72.64635255,3,0,0,5,3,0,0,4
2021-04-10 12:00,245.165918,0,107.8489442,1.3938507,9,0,1,1,9,0,1,1
2021-04-10 13:00,41.77717408,7,0,1.334089462,6,1,0,1,6,1,0,1
2021-04-10 14:00,6.756755104,175.5344582,2766.156352,0,3,2,2,0,3,2,2,0
2021-04-10 15:00,52.22236969,31.64096737,1922.570565,0,5,5,1,0,5,5,1,0
2021-04-10 16:00,111.3490446,388.6602788,0,70.05289828,12,9,0,4,12,9,0,4
2021-04-10 17:00,98.94282743,4,0,1.163085612,7,1,0,1,7,1,0,1
2021-04-10 18:00,58.4138222,413.9176185,0,8.633682097,3,2,0,1,3,2,0,1
2021-04-10 19:00,50.75951855,73.28139896,422.5936197,0,3,5,1,0,3,4,1,0
2021-04-10 20:00,249.0086371,17,0,54.6805197,6,2,0,2,6,2,0,2
2021-04-10 21:00,15.41688179,60.05979125,0,0,5,5,0,0,5,5,0,0
2021-04-10 22:00,80.05267029,103.9175181,0,7.921190755,5,3,0,3,5,2,0,2
2021-04-10 23:00,36.20713321,0,0,0,8,0,0,0,8,0,0,0
2021-04-11 0:00,85.62343482,4.9663,339.6063513,8.447618725,6,2,2,2,6,2,2,2
2021-04-11 1:00,616.7205448,35.56375618,356.637052,3.352343773,10,3,2,1,10,3,2,1
2021-04-11 2:00,16.31899631,110.9145692,14623.38115,233.6967062,7,4,2,4,7,4,2,4
2021-04-11 3:00,108.8748692,20,0,2.897902973,13,1,0,1,11,1,0,1
2021-04-11 4:00,65.81772768,90.81233927,0,9.028650647,8,7,0,3,8,7,0,3
2021-04-11 5:00,365.2496091,167.5090069,0,0,13,12,0,0,12,12,0,0
2021-04-11 6:00,95.18323951,8.894097341,0,33.99746175,5,3,0,2,5,3,0,2
2021-04-11 7:00,78.72297132,197.7074,0,73.75119317,3,2,0,2,3,2,0,2
2021-04-11 8:00,9.226270382,18.42056574,49.50991739,0,3,5,1,0,3,4,1,0
2021-04-11 9:00,25.18769798,171.1792747,0,0,5,2,0,0,5,2,0,0
2021-04-11 10:00,11.6032442,11.1948,0,3.041206296,5,2,0,1,5,2,0,1
2021-04-11 11:00,19.51013456,0,0,0,2,0,0,0,2,0,0,0
2021-04-11 12:00,13.59695742,8.272085859,0,0,4,2,0,0,4,2,0,0
2021-04-11 13:00,179.3574915,26.75513503,1591.41294,12.21593493,6,1,1,1,6,1,1,1
2021-04-11 14:00,47.91797354,1.39211745,0,18.51796946,8,1,0,2,8,1,0,2
2021-04-11 15:00,483.1143821,23.34620812,33.75011492,1.803990375,14,7,1,1,14,7,1,1
2021-04-11 16:00,78.54253427,148,593.674401,7.512376331,6,1,2,1,6,1,2,1
2021-04-11 17:00,48.07834517,150,0,6.628487333,14,1,0,3,14,1,0,3
2021-04-11 18:00,93.91932521,5.84,0,30.71185452,9,2,0,3,9,2,0,3
2021-04-11 19:00,32.44423044,1.378262632,0,1.899127153,7,1,0,1,7,1,0,1
2021-04-11 20:00,94.25860198,67.03976558,1601.586378,75.48212357,12,3,2,4,11,3,2,4
2021-04-11 21:00,108.2396576,90.743,5462.36329,49.14537556,10,2,2,1,10,2,2,1
2021-04-11 22:00,53.82994431,16.3918,0,0.603797509,13,4,0,2,12,4,0,2
2021-04-11 23:00,13.43149554,34.8241826,0,0,5,3,0,0,5,3,0,0
2021-04-12 0:00,53.86856214,0,4077.523124,145.9949197,6,0,1,3,6,0,1,3
2021-04-12 1:00,6.477235395,16.2,14.30002042,6.777536626,5,1,1,2,5,1,1,2
2021-04-12 2:00,29.27533149,3.2295,343.2236484,0,8,1,2,0,8,1,2,0
2021-04-12 3:00,31.55558965,10.3276625,621.3032945,7.469055001,6,1,1,2,6,1,1,2
2021-04-12 4:00,31.85603871,3,0,2.283572287,5,1,0,1,5,1,0,1
2021-04-12 5:00,31.04023893,3.8,0,14.36619515,6,1,0,1,6,1,0,1
2021-04-12 6:00,0,36.55531202,314.443201,8.298231551,0,5,1,2,0,4,1,2
2021-04-12 7:00,2.922963831,27.84854,0,9.791836679,2,3,0,1,2,2,0,1
2021-04-12 8:00,7.779399789,28.5,0,0,1,2,0,0,1,2,0,0
2021-04-12 9:00,24.97344773,43.24578686,732.8178773,4.61183837,5,2,1,1,5,2,1,1
2021-04-12 10:00,125.1253286,9.857027697,0,128.2306114,2,2,0,3,2,2,0,3
2021-04-12 11:00,3.56016584,7,0,0,2,1,0,0,2,1,0,0
2021-04-12 12:00,24.79749506,12.71112515,0,2.506655897,7,4,0,2,7,4,0,2
2021-04-12 13:00,49.51098434,465.8589895,19387.49084,3.294259538,5,6,3,1,5,6,3,1
2021-04-12 14:00,63.11690101,0,0,20.50777223,4,0,0,3,4,0,0,3
2021-04-12 15:00,107.9663151,126,0,0,6,3,0,0,6,2,0,0
2021-04-12 16:00,78.95765875,0,0,18.05794171,9,0,0,1,9,0,0,1
2021-04-12 17:00,50.34429595,10.59869725,0,25.38011468,7,3,0,1,7,3,0,1
2021-04-12 18:00,72.66822059,93.6,0,0,3,5,0,0,3,4,0,0
2021-04-12 19:00,11.60235112,74.2890892,0,2.218754453,4,4,0,1,4,4,0,1
2021-04-12 20:00,108.5576904,104.58196,0,1.995521508,8,2,0,1,8,2,0,1
2021-04-12 21:00,105.249493,8,0,78.47668682,10,2,0,4,10,2,0,4
2021-04-12 22:00,48.65411234,51,0,0,7,2,0,0,7,2,0,0
2021-04-12 23:00,222.6552439,5.336665393,0,60.97271142,8,2,0,2,8,2,0,2
2021-04-13 0:00,5.896245757,0,0,4.585885827,1,0,0,1,1,0,0,1
2021-04-13 1:00,12.09247301,0.515978389,0,33.67331743,3,1,0,6,3,1,0,6
2021-04-13 2:00,44.65993241,0.534282047,0,0.8467395,9,1,0,1,9,1,0,1
2021-04-13 3:00,20.27784747,0.133533733,0,11.81473124,4,1,0,2,4,1,0,2
2021-04-13 4:00,20.37499312,95.12728758,0,0,5,4,0,0,5,3,0,0
2021-04-13 5:00,15.19065371,66.27101419,0,18.30548998,4,2,0,3,4,2,0,3
2021-04-13 6:00,23.44353482,24.55699027,0,0,2,3,0,0,2,2,0,0
2021-04-13 7:00,23.30345716,41.08936639,0,5.168249601,4,2,0,1,4,2,0,1
2021-04-13 8:00,97.63202016,5,0,89.46105863,3,1,0,1,3,1,0,1
2021-04-13 9:00,8.048738273,4.960562262,0,0,2,2,0,0,2,2,0,0
2021-04-13 10:00,30.06730383,0,0,1.404472862,6,0,0,1,6,0,0,1
2021-04-13 11:00,16.87078503,2.2818,1693.554273,90.65673331,2,1,1,2,2,1,1,2
2021-04-13 12:00,245.8467864,30,257.5845304,124.3683954,11,1,1,6,11,1,1,6
2021-04-13 13:00,24.11691666,104.161963,3540.449614,5.097966327,7,6,4,2,7,6,4,2
2021-04-13 14:00,34.49966924,0,1336.809824,16.89580604,5,0,1,1,5,0,1,1
2021-04-13 15:00,224.5859507,222.4171901,0,0,5,4,0,0,4,4,0,0
2021-04-13 16:00,28.59108834,11.73,3512.867038,270.8197284,6,2,1,1,6,2,1,1
2021-04-13 17:00,52.5119543,58.35538734,7811.180011,45.45907894,6,2,1,5,6,2,1,5
2021-04-13 18:00,131.4532668,0,0,0,4,0,0,0,3,0,0,0
